分类: 📺央视频道, 名称: CCTV-1, 有效: 6, IPv4: 323, IPv6: 0, 最小延迟: 123 ms, 最高速率: 8.34 M/s, 平均速率: 6.88 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 7, IPv4: 304, IPv6: 0, 最小延迟: 83 ms, 最高速率: 12.03 M/s, 平均速率: 7.49 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 6, IPv4: 301, IPv6: 0, 最小延迟: 82 ms, 最高速率: 12.12 M/s, 平均速率: 9.25 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 6, IPv4: 341, IPv6: 0, 最小延迟: 62 ms, 最高速率: 15.60 M/s, 平均速率: 9.87 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 6, IPv4: 326, IPv6: 0, 最小延迟: 118 ms, 最高速率: 8.74 M/s, 平均速率: 6.98 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 10, IPv4: 303, IPv6: 0, 最小延迟: 52 ms, 最高速率: 19.31 M/s, 平均速率: 10.39 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 9, IPv4: 283, IPv6: 0, 最小延迟: 60 ms, 最高速率: 15.61 M/s, 平均速率: 10.75 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 9, IPv4: 299, IPv6: 0, 最小延迟: 53 ms, 最高速率: 18.60 M/s, 平均速率: 12.05 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 8, IPv4: 295, IPv6: 0, 最小延迟: 71 ms, 最高速率: 14.49 M/s, 平均速率: 8.35 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 7, IPv4: 294, IPv6: 0, 最小延迟: 79 ms, 最高速率: 12.64 M/s, 平均速率: 11.78 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 8, IPv4: 217, IPv6: 0, 最小延迟: 37 ms, 最高速率: 15.20 M/s, 平均速率: 9.62 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 6, IPv4: 251, IPv6: 0, 最小延迟: 74 ms, 最高速率: 13.32 M/s, 平均速率: 11.36 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 6, IPv4: 224, IPv6: 0, 最小延迟: 66 ms, 最高速率: 15.08 M/s, 平均速率: 12.29 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 8, IPv4: 238, IPv6: 0, 最小延迟: 78 ms, 最高速率: 13.32 M/s, 平均速率: 7.44 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 9, IPv4: 146, IPv6: 0, 最小延迟: 66 ms, 最高速率: 14.67 M/s, 平均速率: 9.26 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 6, IPv4: 220, IPv6: 0, 最小延迟: 74 ms, 最高速率: 14.10 M/s, 平均速率: 11.11 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 3, IPv4: 169, IPv6: 0, 最小延迟: 87 ms, 最高速率: 11.71 M/s, 平均速率: 11.04 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广东卫视, 有效: 6, IPv4: 227, IPv6: 0, 最小延迟: 80 ms, 最高速率: 13.92 M/s, 平均速率: 9.88 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 96, IPv6: 0, 最小延迟: 74 ms, 最高速率: 14.34 M/s, 平均速率: 10.67 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 9, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
